Date,Time,Symbol,Company Name,Last Price,Change,Change (%),Open,High,Low,Short Ratio,Float,Shares Out
05/29/2026,1630,000001.SS,SSE Composite Index,"4,068.57",-30.07,-0.73%,"4,110.52","4,112.96","4,055.89",--,--,--
05/29/2026,1630,2YY=F,"2-Year Yield Futures,May-2026",3.8,-0.02,-0.52%,--,--,--,--,--,--
05/29/2026,1630,AAAU,Goldman Sachs Physical Gold ETF,44.81,0.48,1.07%,44.64,45.31,44.6,--,--,--
05/29/2026,1630,AAL,American Airlines Group Inc.,14.64,-0.01,-0.07%,14.74,15.01,14.61,1.58,654.011M,661.385M
05/29/2026,1630,AAPL,Apple Inc.,312.06,-0.45,-0.14%,311.77,315,309.53,2.84,14.663B,14.687B
05/29/2026,1630,ABBV,AbbVie Inc.,217.72,-0.91,-0.42%,219.02,219.6,214.9,3.39,1.764B,1.767B
05/29/2026,1630,ABNB,"Airbnb, Inc.",133.31,-1.19,-0.88%,134.5,135.75,132.77,3.72,399.209M,417.93M
05/29/2026,1630,ABR,"Arbor Realty Trust, Inc.",5.75,0.11,1.95%,5.64,5.76,5.6,0.01,183.976M,192.361M
05/29/2026,1630,ABT,Abbott Laboratories,85.6,-0.7,-0.81%,86.65,86.73,85.29,1.63,1.731B,1.742B
05/29/2026,1630,ACHC,"Acadia Healthcare Company, Inc.",23.2,-0.56,-2.36%,23.67,23.85,23.07,7.28,85.138M,91.967M
05/29/2026,1630,ACHR,Archer Aviation Inc.,6.81,0,0.00%,6.71,6.83,6.39,2.96,641.982M,762.865M
05/29/2026,1630,ACI,"Albertsons Companies, Inc.",15.61,-0.31,-1.95%,15.89,15.93,15.44,6.37,334.35M,494.535M
05/29/2026,1630,ADBE,Adobe Inc.,259.21,17.77,7.36%,245.23,260.63,244.66,3.74,402.963M,404.2M
05/29/2026,1630,ADYEY,Adyen N.V.,10.9,0.12,1.11%,10.76,10.95,10.72,--,28.212M,3.154B
05/29/2026,1630,AFK,VanEck Africa Index ETF,27.67,0.03,0.11%,27.64,27.8,27.55,--,--,--
05/29/2026,1630,AFRM,"Affirm Holdings, Inc.",73.65,0.65,0.89%,73.9,74.63,72.07,3.43,281.288M,294.358M
05/29/2026,1630,AGCO,AGCO Corporation,112.28,-1.59,-1.40%,113.27,113.97,111.88,2.72,60.072M,72.409M
05/29/2026,1630,AHR,"American Healthcare REIT, Inc.",48.89,-0.57,-1.15%,49.42,49.42,48.19,7.24,191.254M,206.722M
05/29/2026,1630,AIQUY,L'Air Liquide S.A.,41.35,-1.06,-2.50%,42,42,41.42,--,575.826M,2.885B
05/29/2026,1630,AKAM,"Akamai Technologies, Inc.",149.54,6.41,4.48%,144.7,149.87,143.26,3.12,142.055M,145.385M
05/29/2026,1630,ALB,Albemarle Corporation,176.42,0.1,0.06%,177.14,180,173.51,0.04,117.55M,117.935M
05/29/2026,1630,ALCO,"Alico, Inc.",40.65,-1.06,-2.54%,41.65,41.65,40.56,6.39,5.61M,7.416M
05/29/2026,1630,ALGN,"Align Technology, Inc.",174.95,1.7,0.98%,173.79,177.66,171.92,4.9,67.024M,71.618M
05/29/2026,1630,ALLY,Ally Financial Inc.,42.81,0.01,0.02%,42.84,43.36,42.65,3.32,275.218M,306.523M
05/29/2026,1630,ALNY,"Alnylam Pharmaceuticals, Inc.",301.98,-3.08,-1.01%,302.43,305.68,297.62,4.81,132.948M,133.513M
05/29/2026,1630,AMAT,"Applied Materials, Inc.",450.06,0.38,0.08%,452.77,460.46,445.7,2.59,790.474M,793.959M
05/29/2026,1630,AMBA,"Ambarella, Inc.",72.18,-19.66,-21.41%,82.52,85.89,71.05,2.82,41.536M,43.861M
05/29/2026,1630,AMD,"Advanced Micro Devices, Inc.",516.1,-1.99,-0.38%,520.43,522,503.43,0.97,1.622B,1.631B
05/29/2026,1630,AMG,"Affiliated Managers Group, Inc.",302.85,-0.11,-0.04%,303.16,307.1,301.7,2.48,25.392M,26.412M
05/29/2026,1630,AMH,American Homes 4 Rent,32.08,0.09,0.28%,31.9,32.58,31.79,2.22,308.702M,359.961M
05/29/2026,1630,AMLP,Alerian MLP ETF,51.6,-0.84,-1.60%,52.39,52.4,51.6,--,--,--
05/29/2026,1630,AMN,"AMN Healthcare Services, Inc.",28.97,1.04,3.72%,28.12,29.14,27.87,2.25,38.386M,38.786M
05/29/2026,1630,AMPH,"Amphastar Pharmaceuticals, Inc.",18.85,-0.45,-2.33%,19.28,19.46,18.55,6.27,32.839M,44.093M
05/29/2026,1630,AMZN,"Amazon.com, Inc.",270.64,-3.36,-1.23%,271.32,274.75,269.64,2.28,9.78B,10.757B
05/29/2026,1630,AN,"AutoNation, Inc.",187.72,-6.02,-3.11%,193.67,193.1,186.76,5.65,33.001M,33.461M
05/29/2026,1630,AQWA,Global X Clean Water ETF,18.67,-0.04,-0.24%,18.72,18.73,18.65,--,--,--
05/29/2026,1630,AR,Antero Resources Corporation,35.75,-0.06,-0.17%,35.84,36.12,35.47,2.43,292.56M,309.836M
05/29/2026,1630,ARE,"Alexandria Real Estate Equities, Inc.",49.68,-0.38,-0.76%,50,50.98,48.98,3,154.655M,174.269M
05/29/2026,1630,ARGT,Global X MSCI Argentina ETF,97.7,1.65,1.72%,96.26,97.75,95.42,--,--,--
05/29/2026,1630,ARHS,"Arhaus, Inc.",6.77,-0.09,-1.31%,6.83,6.92,6.73,3.09,51.996M,54.424M
05/29/2026,1630,ARKK,ARK Innovation ETF,81.95,0.94,1.16%,81.3,82.45,79.99,--,--,--
05/29/2026,1630,ARQQ,Arqit Quantum Inc.,16.51,-0.4,-2.37%,16.9,17.02,15.92,3.26,6.224M,17.402M
05/29/2026,1630,AS,"Amer Sports, Inc.",35.58,-0.46,-1.28%,36.01,36.38,35.34,3.3,170.047M,581.822M
05/29/2026,1630,ASBFF,Associated British Foods plc,29.04,0.66,2.33%,29.04,29.04,29.04,--,257.155M,699.861M
05/29/2026,1630,ASO,"Academy Sports and Outdoors, Inc.",52.8,-2.32,-4.21%,54.29,54.92,52.55,5.67,63.447M,64.508M
05/29/2026,1630,ATRO,Astronics Corporation,87,-1.17,-1.33%,87.92,88.93,85.86,5.27,33.558M,32.04M
05/29/2026,1630,AVB,"AvalonBay Communities, Inc.",182.51,-2.32,-1.26%,183.6,183.73,181.25,3.9,130.31M,141.872M
05/29/2026,1630,AVGO,Broadcom Inc.,446.77,20.19,4.73%,432.95,448.88,431.5,2.7,4.676B,4.735B
05/29/2026,1630,AVO,"Mission Produce, Inc.",11.14,-0.11,-0.98%,11.23,11.48,11.07,6.19,39.781M,70.846M
05/29/2026,1630,AVTR,"Avantor, Inc.",9.12,-0.03,-0.33%,9.01,9.38,8.92,3.8,664.287M,682.755M
05/29/2026,1630,AWI,"Armstrong World Industries, Inc.",157.9,-2.44,-1.52%,159.84,161.51,157.63,2.61,41.964M,42.679M
05/29/2026,1630,AXP,American Express Company,316.47,1.35,0.43%,315.57,319.24,312.59,3.64,529.247M,682.326M
05/29/2026,1630,AZO,"AutoZone, Inc.","2,935.19",-71.89,-2.39%,"2,989.14","3,000.09","2,931.65",1.45,16.317M,16.369M
05/29/2026,1630,B,Barrick Mining Corporation,42.55,1.03,2.49%,41.63,43.01,41.41,1.06,1.67B,1.676B
05/29/2026,1630,BA,The Boeing Company,231.15,2.37,1.04%,228.44,232.3,226.26,0.23,756.439M,788.302M
