Date,Time,Symbol,Company Name,Last Price,Change,Change (%),Open,High,Low,Short Ratio,Float,Shares Out
05/14/2026,1630,000001.SS,SSE Composite Index,"4,177.92",-64.65,-1.52%,"4,256.16","4,258.86","4,177.92",--,--,--
05/14/2026,1630,2YY=F,"2-Year Yield Futures,May-2026",3.8,-0.02,-0.52%,--,--,--,--,--,--
05/14/2026,1630,AAAU,Goldman Sachs Physical Gold ETF,45.88,-0.35,-0.76%,46.23,46.33,45.88,--,--,--
05/14/2026,1630,AAL,American Airlines Group Inc.,12.7,-0.01,-0.08%,12.8,12.95,12.6,1.44,654.011M,661.385M
05/14/2026,1630,AAPL,Apple Inc.,298.21,-0.66,-0.22%,299.82,300.35,295.38,3.11,14.663B,14.687B
05/14/2026,1630,ABBV,AbbVie Inc.,210.77,2.27,1.09%,209.5,213.51,208.35,3.02,1.764B,1.767B
05/14/2026,1630,ABNB,"Airbnb, Inc.",133.67,0.7,0.53%,133,134.66,132.61,5.17,402.907M,417.93M
05/14/2026,1630,ABR,"Arbor Realty Trust, Inc.",5.84,-0.04,-0.68%,5.9,5.97,5.7,0.01,183.986M,192.361M
05/14/2026,1630,ABT,Abbott Laboratories,84.9,1.07,1.28%,84.18,85.26,84.05,1.82,1.731B,1.742B
05/14/2026,1630,ACHC,"Acadia Healthcare Company, Inc.",26.8,-0.35,-1.29%,27.17,27.57,26.74,7.99,82.899M,91.967M
05/14/2026,1630,ACHR,Archer Aviation Inc.,6.41,-0.11,-1.69%,6.51,6.56,6.11,3.9,642.058M,759.598M
05/14/2026,1630,ACI,"Albertsons Companies, Inc.",16.51,-0.03,-0.18%,16.59,16.83,16.44,5.77,334.335M,494.535M
05/14/2026,1630,ADBE,Adobe Inc.,237.01,0.94,0.40%,237,238.24,231.74,3.35,402.967M,404.2M
05/14/2026,1630,ADYEY,Adyen N.V.,10.35,0.05,0.44%,10.34,10.48,10.29,--,28.213M,3.154B
05/14/2026,1630,AFK,VanEck Africa Index ETF,27.86,-0.31,-1.10%,28.22,28.46,27.73,--,--,--
05/14/2026,1630,AFRM,"Affirm Holdings, Inc.",67.57,4.04,6.36%,63.92,67.59,63.05,3.92,281.288M,294.358M
05/14/2026,1630,AGCO,AGCO Corporation,117.34,1.38,1.19%,116.8,117.86,115.62,3.3,59.647M,72.409M
05/14/2026,1630,AHR,"American Healthcare REIT, Inc.",51.14,-0.47,-0.91%,51.67,51.98,50.51,6.57,191.296M,192.722M
05/14/2026,1630,AIQUY,L'Air Liquide S.A.,41.28,-0.12,-0.29%,41.5,41.5,41.26,--,575.826M,2.885B
05/14/2026,1630,AKAM,"Akamai Technologies, Inc.",155.67,-5.47,-3.39%,157.75,159,153.61,3.33,142.101M,145.385M
05/14/2026,1630,ALB,Albemarle Corporation,191.1,-9.84,-4.90%,198,197.9,188.3,0.03,117.535M,117.935M
05/14/2026,1630,ALCO,"Alico, Inc.",40.96,-0.36,-0.87%,41.07,41.19,40.6,4.67,5.667M,7.416M
05/14/2026,1630,ALGN,"Align Technology, Inc.",160.53,-1.22,-0.75%,161.4,163.59,159.91,4.04,67.041M,71.618M
05/14/2026,1630,ALLY,Ally Financial Inc.,42.37,0.66,1.58%,42.15,42.73,42.12,2.9,275.417M,306.523M
05/14/2026,1630,ALNY,"Alnylam Pharmaceuticals, Inc.",293.45,1.97,0.68%,290.72,297,287.51,4.25,132.961M,133.513M
05/14/2026,1630,AMAT,"Applied Materials, Inc.",440.56,3.95,0.90%,443.46,448.45,438,2.77,790.134M,793.61M
05/14/2026,1630,AMBA,"Ambarella, Inc.",81.04,-1.06,-1.29%,81.85,82.86,79.5,3.63,41.29M,43.789M
05/14/2026,1630,AMD,"Advanced Micro Devices, Inc.",449.7,4.2,0.94%,440.95,453.31,435.69,0.9,1.622B,1.631B
05/14/2026,1630,AMG,"Affiliated Managers Group, Inc.",302.1,-1.38,-0.45%,305.82,307.76,301.48,2.06,25.407M,26.412M
05/14/2026,1630,AMH,American Homes 4 Rent,31.36,-0.08,-0.25%,31.56,31.74,31.31,2.61,309.214M,359.961M
05/14/2026,1630,AMLP,Alerian MLP ETF,53.87,0.7,1.32%,53.11,53.92,53.11,--,--,--
05/14/2026,1630,AMN,"AMN Healthcare Services, Inc.",30.3,-0.57,-1.85%,30.95,31.17,29.98,3.45,36.372M,38.786M
05/14/2026,1630,AMPH,"Amphastar Pharmaceuticals, Inc.",17.3,-1.02,-5.57%,17.81,18.08,17.26,8.2,32.839M,44.093M
05/14/2026,1630,AMZN,"Amazon.com, Inc.",267.22,-2.91,-1.08%,269.28,270.78,266.63,1.84,9.778B,10.757B
05/14/2026,1630,AN,"AutoNation, Inc.",192.65,1.54,0.81%,193.98,197.1,192.01,5.85,33.001M,33.461M
05/14/2026,1630,AQWA,Global X Clean Water ETF,18.92,0.05,0.24%,18.88,19.02,18.88,--,--,--
05/14/2026,1630,AR,Antero Resources Corporation,37.08,0.34,0.93%,36.67,37.45,36.51,1.68,292.182M,309.836M
05/14/2026,1630,ARE,"Alexandria Real Estate Equities, Inc.",46.17,-1.1,-2.33%,47.75,48.01,46.13,2.82,154.657M,174.269M
05/14/2026,1630,ARGT,Global X MSCI Argentina ETF,89.48,1.21,1.37%,88.37,89.82,87.75,--,--,--
05/14/2026,1630,ARHS,"Arhaus, Inc.",5.88,0.01,0.17%,5.96,6.07,5.75,3.14,52.483M,54.424M
05/14/2026,1630,ARKK,ARK Innovation ETF,78,-0.05,-0.06%,77.8,79.18,76.76,--,--,--
05/14/2026,1630,ARQQ,Arqit Quantum Inc.,13.87,0.04,0.29%,13.86,14.26,12.91,3.42,5.323M,15.652M
05/14/2026,1630,AS,"Amer Sports, Inc.",33.33,0.55,1.68%,32.82,33.8,32.61,2.99,167.97M,581.822M
05/14/2026,1630,ASBFF,Associated British Foods plc,29.04,0.66,2.33%,29.04,29.04,29.04,--,257.922M,700.361M
05/14/2026,1630,ASO,"Academy Sports and Outdoors, Inc.",51.07,1.1,2.20%,51.55,52.21,50.04,5.86,63.454M,64.508M
05/14/2026,1630,ATRO,Astronics Corporation,82.71,2.62,3.27%,80.2,83.54,76.54,6.27,33.74M,32.064M
05/14/2026,1630,AVB,"AvalonBay Communities, Inc.",183.54,-2.92,-1.57%,187.18,187.58,183.18,4.34,130.229M,139.112M
05/14/2026,1630,AVGO,Broadcom Inc.,439.79,23,5.52%,416.62,442.36,415.59,2.28,4.676B,4.735B
05/14/2026,1630,AVO,"Mission Produce, Inc.",12.36,-0.1,-0.80%,12.52,12.66,12.35,5.63,39.781M,70.846M
05/14/2026,1630,AVTR,"Avantor, Inc.",7.94,0.07,0.89%,7.91,8.05,7.71,4.45,664.328M,682.755M
05/14/2026,1630,AWI,"Armstrong World Industries, Inc.",160.33,2.29,1.45%,159.16,160.35,157.78,2.52,41.969M,42.679M
05/14/2026,1630,AXP,American Express Company,312.77,3.16,1.02%,313.02,314.62,311.03,4.65,529.26M,682.326M
05/14/2026,1630,AZO,"AutoZone, Inc.","3,379.52",12.73,0.38%,"3,405.94","3,429.95","3,370.59",1.76,16.425M,16.477M
