Date,Time,Symbol,Company Name,Last Price,Change,Change (%),Open,High,Low,Short Ratio,Float,Shares Out
05/22/2026,1630,000001.SS,SSE Composite Index,"4,112.90",35.62,0.87%,"4,096.17","4,120.09","4,067.75",--,--,--
05/22/2026,1630,2YY=F,"2-Year Yield Futures,May-2026",3.8,-0.02,-0.52%,--,--,--,--,--,--
05/22/2026,1630,AAAU,Goldman Sachs Physical Gold ETF,44.44,-0.34,-0.76%,44.59,44.64,44.27,--,--,--
05/22/2026,1630,AAL,American Airlines Group Inc.,13.85,0.26,1.91%,13.72,14.18,13.58,1.44,654.011M,661.385M
05/22/2026,1630,AAPL,Apple Inc.,308.82,3.83,1.26%,306.06,311.4,305.85,3.11,14.662B,14.687B
05/22/2026,1630,ABBV,AbbVie Inc.,215.7,1.2,0.56%,217,220,215.7,3.02,1.764B,1.767B
05/22/2026,1630,ABNB,"Airbnb, Inc.",132.35,-1.9,-1.42%,134.79,136.11,131.73,5.17,402.616M,417.93M
05/22/2026,1630,ABR,"Arbor Realty Trust, Inc.",5.57,-0.17,-2.96%,5.74,5.76,5.5,0.01,183.98M,192.361M
05/22/2026,1630,ABT,Abbott Laboratories,87.41,-0.36,-0.41%,87.92,88.84,87.05,1.82,1.731B,1.742B
05/22/2026,1630,ACHC,"Acadia Healthcare Company, Inc.",23.18,0.16,0.70%,23.07,23.6,22.8,7.99,85.138M,91.967M
05/22/2026,1630,ACHR,Archer Aviation Inc.,6.36,0.24,3.92%,6.19,6.43,6.14,3.9,642.058M,762.865M
05/22/2026,1630,ACI,"Albertsons Companies, Inc.",16.21,-0.06,-0.37%,16.51,16.61,16.13,5.77,334.35M,494.535M
05/22/2026,1630,ADBE,Adobe Inc.,244.76,0.66,0.27%,245.9,249.77,242.71,3.35,402.963M,404.2M
05/22/2026,1630,ADYEY,Adyen N.V.,11.04,0.11,1.01%,11.13,11.18,11.02,--,28.213M,3.154B
05/22/2026,1630,AFK,VanEck Africa Index ETF,26.89,-0.05,-0.19%,26.96,27,26.7,--,--,--
05/22/2026,1630,AFRM,"Affirm Holdings, Inc.",65.22,-1.96,-2.92%,67.96,69.88,64,3.92,281.285M,294.358M
05/22/2026,1630,AGCO,AGCO Corporation,112.84,0.75,0.67%,112.5,113.85,111.36,3.3,60.072M,72.409M
05/22/2026,1630,AHR,"American Healthcare REIT, Inc.",50.19,0.06,0.12%,50.4,50.39,49.2,6.57,191.254M,192.722M
05/22/2026,1630,AIQUY,L'Air Liquide S.A.,41.8,-0.16,-0.38%,42.02,42.23,41.7,--,575.826M,2.885B
05/22/2026,1630,AKAM,"Akamai Technologies, Inc.",147.23,0.99,0.68%,146.94,148.06,145.51,3.33,142.059M,145.385M
05/22/2026,1630,ALB,Albemarle Corporation,171.58,1.68,0.99%,171.59,175.21,169.32,0.03,117.55M,117.935M
05/22/2026,1630,ALCO,"Alico, Inc.",41.31,0.46,1.13%,41.24,41.36,41,4.67,5.61M,7.416M
05/22/2026,1630,ALGN,"Align Technology, Inc.",163.61,0.57,0.35%,162.9,165.48,161.17,4.04,67.042M,71.618M
05/22/2026,1630,ALLY,Ally Financial Inc.,42.35,-0.4,-0.94%,42.81,42.94,42.24,2.9,275.144M,306.523M
05/22/2026,1630,ALNY,"Alnylam Pharmaceuticals, Inc.",297.45,-3.06,-1.02%,299.12,303.33,294.99,4.25,132.96M,133.513M
05/22/2026,1630,AMAT,"Applied Materials, Inc.",432.16,4.8,1.12%,433.59,438.12,430.29,2.77,790.498M,793.61M
05/22/2026,1630,AMBA,"Ambarella, Inc.",87.55,3.91,4.67%,84.14,89.4,84.14,3.63,41.29M,43.861M
05/22/2026,1630,AMD,"Advanced Micro Devices, Inc.",467.51,17.92,3.99%,469.84,481.37,461.71,0.9,1.622B,1.631B
05/22/2026,1630,AMG,"Affiliated Managers Group, Inc.",301.96,-0.67,-0.22%,303.53,306.47,295.78,2.06,25.392M,26.412M
05/22/2026,1630,AMH,American Homes 4 Rent,32.27,0.16,0.50%,32.24,32.44,31.97,2.61,308.746M,359.961M
05/22/2026,1630,AMLP,Alerian MLP ETF,54.52,0.34,0.63%,54.16,54.61,54,--,--,--
05/22/2026,1630,AMN,"AMN Healthcare Services, Inc.",27.66,2.01,7.84%,25.9,27.69,25.92,3.45,38.386M,38.786M
05/22/2026,1630,AMPH,"Amphastar Pharmaceuticals, Inc.",18.41,0.25,1.38%,18.25,18.44,17.93,8.2,32.839M,44.093M
05/22/2026,1630,AMZN,"Amazon.com, Inc.",266.32,-2.14,-0.80%,268.65,269.79,266.23,1.84,9.78B,10.757B
05/22/2026,1630,AN,"AutoNation, Inc.",189.98,3.55,1.90%,185.95,191.92,187.09,5.85,33.001M,33.461M
05/22/2026,1630,AQWA,Global X Clean Water ETF,18.67,0.11,0.62%,18.57,18.78,18.57,--,--,--
05/22/2026,1630,AR,Antero Resources Corporation,36.75,-0.29,-0.78%,36.72,37.02,36.3,1.68,292.56M,309.836M
05/22/2026,1630,ARE,"Alexandria Real Estate Equities, Inc.",48.37,0.52,1.09%,47.94,48.52,47.67,2.82,154.655M,174.269M
05/22/2026,1630,ARGT,Global X MSCI Argentina ETF,90.4,-1.66,-1.80%,92.37,92.45,90.22,--,--,--
05/22/2026,1630,ARHS,"Arhaus, Inc.",6.32,-0.07,-1.10%,6.36,6.5,6.31,3.14,51.996M,54.424M
05/22/2026,1630,ARKK,ARK Innovation ETF,76.4,-0.22,-0.29%,76.95,77.78,76.29,--,--,--
05/22/2026,1630,ARQQ,Arqit Quantum Inc.,17.49,1.04,6.32%,16.53,19,16.5,3.42,5.323M,15.652M
05/22/2026,1630,AS,"Amer Sports, Inc.",35.26,-0.07,-0.20%,35.43,35.5,34.9,2.99,170.047M,581.822M
05/22/2026,1630,ASBFF,Associated British Foods plc,29.04,0.66,2.33%,29.04,29.04,29.04,--,257.922M,699.861M
05/22/2026,1630,ASO,"Academy Sports and Outdoors, Inc.",52.52,1.49,2.92%,51.18,52.99,51.18,5.86,63.447M,64.508M
05/22/2026,1630,ATRO,Astronics Corporation,80.86,0.97,1.21%,80.99,82.4,78.87,6.27,33.615M,32.04M
05/22/2026,1630,AVB,"AvalonBay Communities, Inc.",185.65,1.54,0.84%,185.12,186.62,183.62,4.34,130.164M,141.872M
05/22/2026,1630,AVGO,Broadcom Inc.,414.14,-0.43,-0.10%,417.49,419.91,410.21,2.28,4.676B,4.735B
05/22/2026,1630,AVO,"Mission Produce, Inc.",11.92,-0.02,-0.17%,11.94,12.02,11.73,5.63,39.781M,70.846M
05/22/2026,1630,AVTR,"Avantor, Inc.",8.12,0.25,3.18%,7.84,8.13,7.81,4.45,664.287M,682.755M
05/22/2026,1630,AWI,"Armstrong World Industries, Inc.",157.42,0.27,0.17%,157.09,157.85,155.17,2.52,41.964M,42.679M
05/22/2026,1630,AXP,American Express Company,311.78,2.08,0.67%,313.28,314.42,310.65,4.65,529.247M,682.326M
05/22/2026,1630,AZO,"AutoZone, Inc.","3,406.50",-31.68,-0.92%,"3,421.40","3,496.76","3,382.46",1.76,16.425M,16.477M
05/22/2026,1630,B,Barrick Mining Corporation,40.68,-0.6,-1.45%,41.19,41.11,40.26,1.04,1.669B,1.676B
05/22/2026,1630,BA,The Boeing Company,219.02,-0.59,-0.27%,220.85,221.11,217.16,0.29,756.439M,788.302M
05/22/2026,1630,BABA,Alibaba Group Holding Limited,130,-1.47,-1.12%,126.93,130.75,126.93,4.11,17.723B,2.399B
05/22/2026,1630,BAC,Bank of America Corporation,51.8,0.31,0.60%,51.69,52.15,51.67,0,7.069B,7.097B
05/22/2026,1630,BALL,Ball Corporation,56.51,0.16,0.28%,56.47,56.6,55.45,2.68,265.19M,266.247M
05/22/2026,1630,BBBY,"Bed Bath & Beyond, Inc.",5.6,-0.13,-2.27%,5.71,5.95,5.53,--,--,73.938M
05/22/2026,1630,BBN,BlackRock Taxable Municipal Bond Trust,15.7,0.11,0.71%,15.61,15.75,15.6,0.66,--,61.793M
05/22/2026,1630,BBWI,"Bath & Body Works, Inc.",17.76,0.44,2.54%,17.35,17.79,17.22,2.54,189.193M,201.383M
05/22/2026,1630,BBY,"Best Buy Co., Inc.",61.63,0.48,0.78%,61.2,62.33,61.19,5.65,194.318M,210.695M
05/22/2026,1630,BCO,The Brink's Company,104.75,-0.04,-0.04%,104.96,105.81,101,6,40.727M,41.181M
05/22/2026,1630,BDRY,Breakwave Dry Bulk Shipping ETF,12.68,0.17,1.40%,12.53,12.76,12.65,--,--,--
05/22/2026,1630,BEAM,Beam Therapeutics Inc.,28.64,0.97,3.51%,27.63,29.14,27.63,9.71,87.973M,102.879M
05/22/2026,1630,BEPC,Brookfield Renewable Corporation,37.5,-0.12,-0.32%,37.79,38.06,37.42,6.61,102.527M,147.662M
05/22/2026,1630,BIDU,"Baidu, Inc.",127.79,-3.39,-2.58%,127.55,129.27,126.57,3.7,2.127B,274.75M
05/22/2026,1630,BIO,"Bio-Rad Laboratories, Inc.",287.74,1,0.35%,287.49,291.46,286.2,0,20.903M,21.701M
05/22/2026,1630,BIP,Brookfield Infrastructure Partners L.P.,39.64,-0.11,-0.28%,40.02,40.12,39.6,0.87,451.306M,457.607M
05/22/2026,1630,BIRK,Birkenstock Holding plc,41.38,1.71,4.31%,39.67,41.85,38.69,5.29,55.354M,183.906M
05/22/2026,1630,BITO,ProShares Bitcoin ETF,10.35,-0.25,-2.36%,10.54,10.56,10.32,--,--,--
05/22/2026,1630,BJ,"BJ's Wholesale Club Holdings, Inc.",86.64,-7.79,-8.25%,89.79,89.92,85.13,3.88,128.941M,127.692M
05/22/2026,1630,BJRI,"BJ's Restaurants, Inc.",44.56,0.16,0.36%,44.5,45.47,44.22,5.84,18.23M,21.017M
05/22/2026,1630,BKNG,Booking Holdings Inc.,161.06,1.38,0.86%,159.18,162.8,159,3.56,772.461M,774.878M
05/22/2026,1630,BKV,BKV Corporation,28.29,-0.26,-0.91%,28.78,28.66,28.1,4.52,31.2M,109.387M
05/22/2026,1630,BLDR,"Builders FirstSource, Inc.",74.15,0.29,0.39%,73.91,74.99,71.93,3.59,104.457M,107.56M
05/22/2026,1630,BLK,"BlackRock, Inc.","1,073.00",9.25,0.87%,"1,070.78","1,079.99","1,065.19",2.43,144.143M,155.234M
05/22/2026,1630,BLMN,"Bloomin' Brands, Inc.",7.82,0.07,0.84%,7.83,8.14,7.73,3.58,83.205M,85.614M
05/22/2026,1630,BLOK,Amplify Blockchain Technology ETF,63.92,-0.38,-0.59%,64.47,64.92,63.73,--,--,--
05/22/2026,1630,BNDD,Quadratic Deflation ETF,97.82,0.62,0.64%,97.29,97.82,97.82,--,--,--
05/22/2026,1630,BNO,"United States Brent Oil Fund, LP",55,-0.56,-1.01%,55.16,55.88,54.05,--,--,--
05/22/2026,1630,BNY,The Bank of New York Mellon Cor,139.15,0.17,0.12%,139.59,140.78,139.11,0,684.492M,686.379M
05/22/2026,1630,BOOT,"Boot Barn Holdings, Inc.",154.65,0.16,0.10%,154.86,156,151.26,4.13,30.229M,30.347M
05/22/2026,1630,BP,BP p.l.c.,44.36,-0.51,-1.14%,44.49,44.8,44.01,0.88,14.94B,2.575B
05/22/2026,1630,BRBR,"BellRing Brands, Inc.",8.91,-0.14,-1.55%,8.96,9.23,8.84,3.08,105.809M,116.278M
