Date,Time,Symbol,Company Name,Last Price,Change,Change (%),Open,High,Low,Short Ratio,Float,Shares Out
05/18/2026,1630,000001.SS,SSE Composite Index,"4,131.53",-3.86,-0.09%,"4,120.14","4,145.66","4,108.60",--,--,--
05/18/2026,1630,2YY=F,"2-Year Yield Futures,May-2026",3.8,-0.02,-0.52%,--,--,--,--,--,--
05/18/2026,1630,AAAU,Goldman Sachs Physical Gold ETF,44.94,0.11,0.25%,45.1,45.2,44.7,--,--,--
05/18/2026,1630,AAL,American Airlines Group Inc.,12.36,0.05,0.41%,12.47,12.8,12.21,1.44,654.011M,661.385M
05/18/2026,1630,AAPL,Apple Inc.,297.84,-2.39,-0.80%,300.24,300.66,294.91,3.11,14.662B,14.687B
05/18/2026,1630,ABBV,AbbVie Inc.,209.41,-0.98,-0.47%,210.37,211.36,207.68,3.02,1.764B,1.767B
05/18/2026,1630,ABNB,"Airbnb, Inc.",134.3,1.45,1.09%,133.5,137.26,132.35,5.17,402.616M,417.93M
05/18/2026,1630,ABR,"Arbor Realty Trust, Inc.",6.04,0.25,4.32%,5.73,6.22,5.73,0.01,183.984M,192.361M
05/18/2026,1630,ABT,Abbott Laboratories,87.91,3.44,4.07%,84.86,87.92,84.4,1.82,1.731B,1.742B
05/18/2026,1630,ACHC,"Acadia Healthcare Company, Inc.",25.31,-0.5,-1.94%,25.56,26.05,25.27,7.99,85.138M,91.967M
05/18/2026,1630,ACHR,Archer Aviation Inc.,5.92,-0.13,-2.15%,6.05,6.2,5.82,3.9,642.058M,759.598M
05/18/2026,1630,ACI,"Albertsons Companies, Inc.",16.81,0.41,2.50%,16.4,16.88,16.39,5.77,334.35M,494.535M
05/18/2026,1630,ADBE,Adobe Inc.,255.64,8.04,3.25%,247.31,256.19,245.24,3.35,402.963M,404.2M
05/18/2026,1630,ADYEY,Adyen N.V.,10.56,0.31,3.02%,10.32,10.63,10.32,--,28.213M,3.154B
05/18/2026,1630,AFK,VanEck Africa Index ETF,27,0.13,0.48%,27,27,26.55,--,--,--
05/18/2026,1630,AFRM,"Affirm Holdings, Inc.",64.41,-1.41,-2.14%,64.98,65.97,62.84,3.92,281.285M,294.358M
05/18/2026,1630,AGCO,AGCO Corporation,113.17,-0.11,-0.10%,113.84,115.45,112.86,3.3,59.649M,72.409M
05/18/2026,1630,AHR,"American Healthcare REIT, Inc.",50.09,0.74,1.50%,49.25,50.16,49.25,6.57,191.254M,192.722M
05/18/2026,1630,AIQUY,L'Air Liquide S.A.,40.64,0.53,1.32%,40.45,40.68,40.37,--,575.826M,2.885B
05/18/2026,1630,AKAM,"Akamai Technologies, Inc.",150.77,-0.11,-0.07%,152.64,153,148.5,3.33,142.059M,145.385M
05/18/2026,1630,ALB,Albemarle Corporation,175.74,-4.64,-2.57%,181.31,182.28,174.02,0.03,117.534M,117.935M
05/18/2026,1630,ALCO,"Alico, Inc.",40.24,0.07,0.17%,40.51,40.51,40,4.67,5.61M,7.416M
05/18/2026,1630,ALGN,"Align Technology, Inc.",158.78,1.53,0.97%,157.6,161.22,155.95,4.04,67.042M,71.618M
05/18/2026,1630,ALLY,Ally Financial Inc.,42.11,0.12,0.29%,42.09,42.72,41.94,2.9,275.414M,306.523M
05/18/2026,1630,ALNY,"Alnylam Pharmaceuticals, Inc.",286.27,-0.71,-0.25%,287.14,291.97,285.26,4.25,132.96M,133.513M
05/18/2026,1630,AMAT,"Applied Materials, Inc.",413.57,-23.05,-5.28%,441.31,441.71,408.09,2.77,790.498M,793.61M
05/18/2026,1630,AMBA,"Ambarella, Inc.",78.88,-2.28,-2.81%,81.96,82.44,77.93,3.63,41.29M,43.789M
05/18/2026,1630,AMD,"Advanced Micro Devices, Inc.",420.99,-3.11,-0.73%,429.5,438.8,410.71,0.9,1.622B,1.631B
05/18/2026,1630,AMG,"Affiliated Managers Group, Inc.",297.03,3.12,1.06%,293.97,301.39,291.25,2.06,25.392M,26.412M
05/18/2026,1630,AMH,American Homes 4 Rent,31.89,1.28,4.18%,30.98,31.91,30.89,2.61,308.746M,359.961M
05/18/2026,1630,AMLP,Alerian MLP ETF,54.46,0.41,0.76%,53.95,54.64,53.75,--,--,--
05/18/2026,1630,AMN,"AMN Healthcare Services, Inc.",28.86,0.25,0.87%,28.65,29.86,28.24,3.45,38.386M,38.786M
05/18/2026,1630,AMPH,"Amphastar Pharmaceuticals, Inc.",17.2,0.33,1.96%,16.7,17.31,16.65,8.2,32.839M,44.093M
