Date,Time,Symbol,Company Name,Last Price,Change,Change (%),Open,High,Low,Short Ratio,Float,Shares Out
5/12/2026,1630,000001.SS,SSE Composite Index,"4,214.49",-10.53,-0.25%,"4,229.28","4,230.18","4,199.34",--,--,--
5/12/2026,1630,2YY=F,"2-Year Yield Futures,May-2026",3.8,-0.017,-0.45%,--,--,--,--,--,--
5/12/2026,1630,AAAU,Goldman Sachs Physical Gold ETF,46.5,-0.19,-0.41%,46.27,46.51,45.75,--,--,--
5/12/2026,1630,AAL,American Airlines Group Inc.,12.69,-0.1,-0.78%,12.65,12.72,12.38,1.44,654.011M,661.385M
5/12/2026,1630,AAPL,Apple Inc.,294.8,2.12,0.72%,292.76,295.27,292.61,3.11,14.663B,14.687B
5/12/2026,1630,ABBV,AbbVie Inc.,207.86,5.08,2.51%,204.59,211.32,203.51,3.06,1.764B,1.767B
5/12/2026,1630,ABNB,"Airbnb, Inc.",135.48,-1.57,-1.15%,137.62,138.52,134.3,5.17,402.907M,418.898M
5/12/2026,1630,ABR,"Arbor Realty Trust, Inc.",5.85,-0.81,-12.16%,6.6,6.64,5.84,0,183.995M,192.361M
5/12/2026,1630,ABT,Abbott Laboratories,84.35,1.79,2.17%,83.42,85.1,83.09,1.71,1.731B,1.742B
5/12/2026,1630,ACHC,"Acadia Healthcare Company, Inc.",26.02,1.01,4.04%,25.07,26.45,24.45,7.99,82.899M,91.967M
5/12/2026,1630,ACHR,Archer Aviation Inc.,6.39,-0.15,-2.29%,6.39,6.68,6.05,3.48,639.68M,759.598M
5/12/2026,1630,ACI,"Albertsons Companies, Inc.",15.92,0,0.00%,16.02,16.03,15.55,5.89,334.335M,494.535M
5/12/2026,1630,ADBE,Adobe Inc.,240.83,-5.32,-2.16%,247,247.54,240.41,3.35,402.967M,404.2M
5/12/2026,1630,ADYEY,Adyen N.V.,10.72,0.02,0.19%,10.6,10.75,10.55,--,28.213M,3.154B
5/12/2026,1630,AFK,VanEck Africa Index ETF,28.57,-0.26,-0.90%,28.42,28.62,27.9,--,--,--
5/12/2026,1630,AFRM,"Affirm Holdings, Inc.",65.43,-1.02,-1.53%,65.78,68.52,64.63,3.92,281.288M,294.358M
5/12/2026,1630,AGCO,AGCO Corporation,118.03,-0.8,-0.67%,119.03,119.07,116.03,2.66,59.647M,72.409M
5/12/2026,1630,AHR,"American Healthcare REIT, Inc.",51.47,1.09,2.16%,50.38,51.82,50.15,4.92,191.296M,192.722M
5/12/2026,1630,AIQUY,L'Air Liquide S.A.,41.34,0.02,0.05%,41.36,41.36,41.08,--,575.826M,2.885B
5/12/2026,1630,AKAM,"Akamai Technologies, Inc.",149.56,-3.45,-2.25%,153,154,144.56,3.33,142.101M,145.385M
5/12/2026,1630,ALB,Albemarle Corporation,205.52,-4.47,-2.13%,205.94,208.95,201.65,0.02,117.535M,117.935M
5/12/2026,1630,ALCO,"Alico, Inc.",41.17,0.52,1.28%,41.42,42.5,40,4.67,5.667M,7.657M
5/12/2026,1630,ALGN,"Align Technology, Inc.",165.79,1.18,0.72%,164.77,167.65,163.6,4.04,67.041M,71.618M
5/12/2026,1630,ALLY,Ally Financial Inc.,42.84,0.1,0.23%,42.8,42.9,42.15,2.97,275.417M,306.523M
5/12/2026,1630,ALNY,"Alnylam Pharmaceuticals, Inc.",292.03,7.19,2.52%,288.66,295.86,286.73,4.25,132.961M,133.513M
5/12/2026,1630,AMAT,"Applied Materials, Inc.",431.2,-12.42,-2.80%,434.1,435,416.56,2.77,790.134M,793.61M
5/12/2026,1630,AMBA,"Ambarella, Inc.",78.19,-1.53,-1.92%,78.57,79.79,74.94,3.63,41.29M,43.789M
5/12/2026,1630,AMD,"Advanced Micro Devices, Inc.",448.29,-10.5,-2.29%,449.25,458.8,426.11,0.9,1.622B,1.631B
5/12/2026,1630,AMG,"Affiliated Managers Group, Inc.",301.53,0.25,0.08%,300.74,303.1,296.37,2.71,25.407M,26.412M
5/12/2026,1630,AMH,American Homes 4 Rent,31.57,-0.48,-1.50%,32.26,32.37,31.45,2.31,309.214M,359.961M
5/12/2026,1630,AMLP,Alerian MLP ETF,54.07,0.63,1.18%,53.6,54.16,53.12,--,--,--
5/12/2026,1630,AMN,"AMN Healthcare Services, Inc.",29.47,-0.8,-2.64%,30.11,30.5,28.11,2.89,36.372M,38.786M
5/12/2026,1630,AMPH,"Amphastar Pharmaceuticals, Inc.",17.5,-0.95,-5.15%,18.41,18.58,17.26,8.2,32.839M,44.093M
5/12/2026,1630,AMZN,"Amazon.com, Inc.",265.82,-3.17,-1.18%,266.27,267.65,262.63,1.84,9.778B,10.757B
5/12/2026,1630,AN,"AutoNation, Inc.",195.36,-5.12,-2.55%,200.06,199.93,195.14,5.55,33.001M,33.461M
5/12/2026,1630,AQWA,Global X Clean Water ETF,19.02,-0.13,-0.70%,18.99,19.09,18.95,--,--,--
5/12/2026,1630,AR,Antero Resources Corporation,36.33,-0.26,-0.71%,36.96,36.99,35.84,1.35,292.182M,309.836M
5/12/2026,1630,ARE,"Alexandria Real Estate Equities, Inc.",46.5,0.5,1.09%,46.01,46.87,45.44,3.06,154.657M,174.269M
5/12/2026,1630,ARGT,Global X MSCI Argentina ETF,89.79,-0.38,-0.42%,89.71,90.47,88.48,--,--,--
5/12/2026,1630,ARHS,"Arhaus, Inc.",5.9,-0.22,-3.59%,6.12,6.2,5.9,3.14,52.483M,54.424M
5/12/2026,1630,ARKK,ARK Innovation ETF,78.21,-1.82,-2.27%,79.1,79.78,76.49,--,--,--
5/12/2026,1630,ARQQ,Arqit Quantum Inc.,14.4,-0.6,-4.00%,15.01,15.6,13.9,3.42,5.323M,15.652M
5/12/2026,1630,AS,"Amer Sports, Inc.",33.56,-0.94,-2.72%,33.7,34.03,32.91,2.78,167.97M,581.822M
5/12/2026,1630,ASBFF,Associated British Foods plc,29.04,0.66,2.33%,29.04,29.04,29.04,--,257.922M,701.049M
5/12/2026,1630,ASO,"Academy Sports and Outdoors, Inc.",51.12,-0.42,-0.81%,51.36,51.6,50.16,5.86,63.454M,64.508M
5/12/2026,1630,ATRO,Astronics Corporation,78.26,2.47,3.26%,75.22,78.79,73.26,6.27,33.477M,32.064M
5/12/2026,1630,AVB,"AvalonBay Communities, Inc.",187.02,-0.25,-0.13%,188.01,187.97,185.24,4.47,130.231M,139.112M
5/12/2026,1630,AVGO,Broadcom Inc.,419.3,-9.13,-2.13%,423.43,429.34,408.41,2.28,4.676B,4.735B
5/12/2026,1630,AVO,"Mission Produce, Inc.",12.63,-0.09,-0.71%,12.72,12.78,12.5,5.63,39.781M,70.846M
5/12/2026,1630,AVTR,"Avantor, Inc.",8.17,0.2,2.51%,8.1,8.21,8.02,5.16,664.328M,682.755M
5/12/2026,1630,AWI,"Armstrong World Industries, Inc.",159.1,-0.33,-0.21%,160.07,161.44,157.85,1.98,41.969M,42.679M
5/12/2026,1630,AXP,American Express Company,314.31,1.99,0.64%,312.33,314.95,311.08,3.5,529.26M,682.326M
5/12/2026,1630,AZO,"AutoZone, Inc.","3,409.81",-17.99,-0.52%,"3,447.59","3,450.33","3,353.94",2.4,16.425M,16.477M
5/12/2026,1630,B,Barrick Mining Corporation,45.85,-1.15,-2.45%,46.35,46.62,44.29,0.86,1.663B,1.676B
5/12/2026,1630,BA,The Boeing Company,236.87,-1.34,-0.56%,239,239.02,231.11,0.24,756.423M,788.302M
5/12/2026,1630,BABA,Alibaba Group Holding Limited,134.78,-2.52,-1.84%,136.49,136.97,133.82,3.21,17.597B,2.399B
5/12/2026,1630,BAC,Bank of America Corporation,50.78,0.23,0.45%,50.86,51.08,49.84,0,7.069B,7.097B
5/12/2026,1630,BALL,Ball Corporation,57.57,-0.15,-0.26%,57.83,58.07,57.22,2.83,265.184M,266.247M
5/12/2026,1630,BBBY,"Bed Bath & Beyond, Inc.",4.69,-0.21,-4.29%,4.81,4.89,4.66,--,--,73.938M
5/12/2026,1630,BBN,BlackRock Taxable Municipal Bond Trust,16.01,-0.09,-0.56%,16.1,16.16,15.96,0.62,--,61.793M
5/12/2026,1630,BBWI,"Bath & Body Works, Inc.",19.09,-0.07,-0.37%,19.02,19.19,18.4,2.49,189.096M,201.383M
5/12/2026,1630,BBY,"Best Buy Co., Inc.",57.2,-0.42,-0.73%,57.65,58.17,57.07,4.37,194.32M,210.695M
5/12/2026,1630,BCO,The Brink's Company,105.73,0.53,0.50%,105.47,107.89,104.15,3.91,40.727M,41.181M
5/12/2026,1630,BDRY,Breakwave Dry Bulk Shipping ETF,13.29,0.64,5.06%,13.01,13.34,12.95,--,--,--
5/12/2026,1630,BEAM,Beam Therapeutics Inc.,31.58,-0.17,-0.54%,31.49,31.77,30.53,9.71,88.045M,102.879M
5/12/2026,1630,BEPC,Brookfield Renewable Corporation,36.93,-0.4,-1.07%,37.1,37.45,36.44,5.81,102.531M,147.662M
5/12/2026,1630,BIDU,"Baidu, Inc.",139.94,-5.84,-4.01%,142.62,142.66,137.15,3.7,2.128B,274.75M
5/12/2026,1630,BIO,"Bio-Rad Laboratories, Inc.",241.71,-2.08,-0.85%,245.03,246.2,240.71,0,20.902M,21.701M
5/12/2026,1630,BIP,Brookfield Infrastructure Partners L.P.,38.07,0.63,1.68%,37.47,38.2,37.45,0.88,451.342M,457.607M
5/12/2026,1630,BIRK,Birkenstock Holding plc,37.95,-1.2,-3.07%,38.5,38.7,37.7,5.03,55.35M,183.906M
5/12/2026,1630,BITO,ProShares Bitcoin ETF,11.04,-0.16,-1.43%,11.01,11.06,10.9,--,--,--
5/12/2026,1630,BJ,"BJ's Wholesale Club Holdings, Inc.",92.01,0.9,0.99%,91.99,93.3,91.2,3.43,128.928M,127.692M
5/12/2026,1630,BJRI,"BJ's Restaurants, Inc.",41.42,-0.69,-1.64%,42.15,42.38,41.2,5.84,17.174M,21.017M
5/12/2026,1630,BK,The Bank of New York Mellon Corporation,133.44,0.95,0.72%,132.15,134.08,131.07,0,684.492M,686.379M
5/12/2026,1630,BKNG,Booking Holdings Inc.,160.56,2.76,1.75%,158.04,161.18,157.86,3.56,772.484M,774.878M
5/12/2026,1630,BKV,BKV Corporation,28.32,-0.02,-0.07%,28.41,28.66,27.83,3.55,31.2M,109.387M
5/12/2026,1630,BLDR,"Builders FirstSource, Inc.",72.78,-2.1,-2.80%,74.57,74.96,72.12,3.52,104.452M,107.56M
5/12/2026,1630,BLK,"BlackRock, Inc.","1,092.50",11.18,1.03%,"1,074.79","1,096.26","1,071.00",2.21,144.155M,155.234M
5/12/2026,1630,BLMN,"Bloomin' Brands, Inc.",8.32,-0.05,-0.60%,8.36,8.49,8.16,3.58,83.182M,85.614M
5/12/2026,1630,BLOK,Amplify Blockchain Technology ETF,64.02,-1.14,-1.75%,64.1,64.5,62.26,--,--,--
5/12/2026,1630,BNDD,Quadratic Deflation ETF,97.04,-0.66,-0.68%,97.29,97.04,97.04,--,--,--
5/12/2026,1630,BNO,"United States Brent Oil Fund, LP",56.89,1.87,3.40%,57.01,57.21,56.52,--,--,--
5/12/2026,1630,BOOT,"Boot Barn Holdings, Inc.",144.8,-8.3,-5.42%,148,149.18,141.41,3.51,30.302M,30.42M
5/12/2026,1630,BP,BP p.l.c.,44.4,0.18,0.41%,44.29,44.53,44.19,0.55,14.94B,2.575B
5/12/2026,1630,BRBR,"BellRing Brands, Inc.",9.48,0.08,0.85%,9.44,9.79,9.32,2.38,107.38M,116.278M
5/12/2026,1630,BRCB,"Black Rock Coffee Bar, Inc.",10.97,-0.02,-0.18%,10.92,11.3,10.7,4.62,16.595M,18.017M
5/12/2026,1630,BRKR,Bruker Corporation,44.73,1.46,3.37%,43.19,44.93,42.96,6.78,103.573M,152.226M
5/12/2026,1630,BROS,Dutch Bros Inc.,50.68,-0.45,-0.88%,50.67,51.33,49.35,5.37,126.459M,137.193M
5/12/2026,1630,BTAL,AGF U.S. Market Neutral Anti-Beta Fund,12.02,0.15,1.26%,11.95,12.27,11.95,--,--,--
5/12/2026,1630,BTC,Grayscale Bitcoin Mini Trust ETF,35.74,-0.5,-1.38%,35.65,35.77,35.31,--,--,--
5/12/2026,1630,BTC-USD,Bitcoin USD,"80,617.75","-1,109.34",-1.36%,"81,721.41","81,721.41","79,933.12",--,--,--
5/12/2026,1630,BTI,British American Tobacco p.l.c.,63.64,3.2,5.29%,61.91,63.68,61.4,1.74,1.98B,2.164B
5/12/2026,1630,BUD,Anheuser-Busch InBev SA/NV,79.81,-0.05,-0.06%,79.85,80.25,79.01,2.49,929.065M,1.715B
5/12/2026,1630,BULL,Webull Corporation,7.02,-0.05,-0.71%,6.96,7.04,6.82,1.45,368.552M,447.96M
5/12/2026,1630,BURL,"Burlington Stores, Inc.",288.86,-3.35,-1.15%,292.26,292.23,283.78,3.62,61.578M,62.83M
5/12/2026,1630,BUXX,Strive Enhanced Income Short Maturity ETF,20.22,-0.02,-0.10%,20.24,20.24,20.22,--,--,--
5/12/2026,1630,BXP,"BXP, Inc.",59.01,0.07,0.12%,59.06,59.45,58.36,5.39,147.882M,159.477M
5/12/2026,1630,BYD,Boyd Gaming Corporation,82.21,-0.54,-0.65%,83.09,83.11,82.08,3.91,50.791M,74.33M
5/12/2026,1630,BYDDF,BYD Company Limited,12.8,-0.2,-1.54%,12.8,12.81,12.69,--,6.02B,3.683B
5/12/2026,1630,BZ=F,Brent Crude Oil Last Day Financ,107.39,-0.38,-0.35%,107.74,107.86,107.2,--,--,--
5/12/2026,1630,C,Citigroup Inc.,126.44,0.59,0.47%,126.07,126.55,123.25,0.02,1.7B,1.706B
5/12/2026,1630,CACC,Credit Acceptance Corporation,526.72,4.98,0.95%,520.61,529.46,512.93,6.59,5.124M,10.46M
5/12/2026,1630,CADUSD=X,CAD/USD,0.7303,0,0.00%,0.7303,0.7305,0.7301,--,--,--
5/12/2026,1630,CAG,"Conagra Brands, Inc.",14,0.07,0.50%,14.05,14.23,13.84,2.4,475.203M,478.437M
5/12/2026,1630,CAH,"Cardinal Health, Inc.",182.56,0.06,0.03%,182.74,185.74,181.75,3.53,233.744M,234.206M
5/12/2026,1630,CAKE,The Cheesecake Factory Incorporated,60.75,-0.42,-0.69%,61.53,61.53,60.18,6.92,45.668M,49.685M
5/12/2026,1630,CALY,Callaway Golf Company,15.73,-0.38,-2.36%,15.81,15.87,14.98,2.5,148.481M,179.758M
5/12/2026,1630,CAMT,Camtek Ltd.,174.62,-32.84,-15.83%,192.36,192.89,168.28,7.91,29.096M,46.549M
5/12/2026,1630,CANE,Teucrium Sugar Fund,10.07,0.02,0.20%,10.02,10.11,9.98,--,--,--
